project_id,git_url,repo_name,owner_repo,repo_path,size,Name,Bytes,CodeBytes,Lines,Code,Comment,Blank,Complexity,Count,WeightedComplexity,Files,others,acl,androidlog,jul,log4j,log4j2,logback,slf4j,is_general,general_lus
9633961,https://api.github.com/repos/jindrapetrik/jpexs-decompiler,jpexs-decompiler,jindrapetrik/jpexs-decompiler,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/jindrapetrik_jpexs-decompiler.tar.gz,large,Java,12664803,0,358894,221478,95629,41787,0,1938,0,[],,False,False,True,False,False,False,False,True,['jul']
53570059,https://api.github.com/repos/apache/eagle,eagle,apache/eagle,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_eagle.tar.gz,large,Java,7157892,0,177537,116222,39484,21831,0,1801,0,[],io.dropwizard.jersey.errors.loggingexceptionmapper;org.apache.eagle.log.base.taggedlog.entityjsonmodule;org.apache.eagle.log.base.taggedlog.nosuchrowexception;org.apache.eagle.log.base.taggedlog.rowkeyapientity;org.apache.eagle.log.base.taggedlog.taggedlogapientity;org.apache.eagle.log.base.taggedlog.taggedlogobjectmapper;org.apache.eagle.log.entity.*;org.apache.eagle.log.entity.abstracthbaselogreader;org.apache.eagle.log.entity.entitycreationlistener;org.apache.eagle.log.entity.entityqualifierutils;org.apache.eagle.log.entity.filter.hbasefilterbuilder;org.apache.eagle.log.entity.genericcreateapiresponseentity;org.apache.eagle.log.entity.genericentitybatchreader;org.apache.eagle.log.entity.genericentitywriter;org.apache.eagle.log.entity.genericmetricentity;org.apache.eagle.log.entity.genericmetricshadowentity;org.apache.eagle.log.entity.genericserviceapiresponseentity;org.apache.eagle.log.entity.hbaseinternalloghelper;org.apache.eagle.log.entity.hbaselogwriter;org.apache.eagle.log.entity.index.nonclusteredindexstreamreader;org.apache.eagle.log.entity.index.rowkeylogreader;org.apache.eagle.log.entity.index.uniqueindexstreamreader;org.apache.eagle.log.entity.internallog;org.apache.eagle.log.entity.listqueryapiresponseentity;org.apache.eagle.log.entity.logreader;org.apache.eagle.log.entity.meta.*;org.apache.eagle.log.entity.meta.column;org.apache.eagle.log.entity.meta.columnfamily;org.apache.eagle.log.entity.meta.entityconstants;org.apache.eagle.log.entity.meta.entitydefinition;org.apache.eagle.log.entity.meta.entitydefinitionmanager;org.apache.eagle.log.entity.meta.entityserdeser;org.apache.eagle.log.entity.meta.index;org.apache.eagle.log.entity.meta.indexdefinition;org.apache.eagle.log.entity.meta.indexdefinition.indextype;org.apache.eagle.log.entity.meta.indexes;org.apache.eagle.log.entity.meta.mapserdeser;org.apache.eagle.log.entity.meta.metricdefinition;org.apache.eagle.log.entity.meta.prefix;org.apache.eagle.log.entity.meta.qualifier;org.apache.eagle.log.entity.meta.service;org.apache.eagle.log.entity.meta.table;org.apache.eagle.log.entity.meta.tags;org.apache.eagle.log.entity.meta.timeseries;org.apache.eagle.log.entity.metricmetadataentity;org.apache.eagle.log.entity.old.genericdeleter;org.apache.eagle.log.entity.old.hbaselogbyrowkeyreader;org.apache.eagle.log.entity.old.rowkeyhelper;org.apache.eagle.log.entity.qualifiercreationlistener;org.apache.eagle.log.entity.repo.entityrepository;org.apache.eagle.log.entity.repo.entityrepositoryscanner;org.apache.eagle.log.entity.rowkeybuilder;org.apache.eagle.log.entity.rowkeyqueryapiresponseentity;org.apache.eagle.log.entity.searchcondition;org.apache.eagle.log.expression.expressionparser;org.apache.eagle.log.expression.parsiiinvalidexception,False,False,True,False,False,False,True,True,"['jul', 'slf4j']"
37451205,https://api.github.com/repos/joana-team/joana,joana,joana-team/joana,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/joana-team_joana.tar.gz,large,Java,12772783,0,401285,262555,79059,59671,0,2217,0,[],edu.kit.joana.deprecated.jsdg.util.log;edu.kit.joana.deprecated.jsdg.util.log.loglevel;edu.kit.joana.util.log;edu.kit.joana.util.logger,False,True,False,False,False,True,True,True,"['androidlog', 'logback', 'slf4j']"
8727615,https://api.github.com/repos/CloverETL/CloverETL-Engine,CloverETL-Engine,CloverETL/CloverETL-Engine,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/CloverETL_CloverETL-Engine.tar.gz,large,Java,13417632,0,399712,246831,104368,48513,0,1669,0,[],com.infobright.logging.etllogger;com.jcraft.jsch.logger;org.jetel.logger.safelog;org.jetel.logger.safelogfactory;org.jetel.logger.safelogutils;org.jetel.util.exec.loggerdataconsumer,True,False,False,True,False,False,False,True,"['acl', 'log4j']"
19002843,https://api.github.com/repos/vmware/lightwave,lightwave,vmware/lightwave,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/vmware_lightwave.tar.gz,large,Java,12525167,0,329536,210930,75832,42774,0,2010,0,[],com.vmware.identity.diagnostics.diagnosticsloggerfactory;com.vmware.identity.diagnostics.idiagnosticslogger;com.vmware.identity.rest.core.server.filters.loggingcontextresetfilter;org.apache.juli.logging.log;org.apache.juli.logging.logfactory;org.glassfish.jersey.filter.loggingfilter,True,False,True,True,True,False,True,True,"['acl', 'jul', 'log4j', 'log4j2', 'slf4j']"
18489,https://api.github.com/repos/apache/maven-plugins,maven-plugins,apache/maven-plugins,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_maven-plugins.tar.gz,large,Java,8478473,0,252489,143050,75630,33809,0,1936,0,[],com.puppycrawl.tools.checkstyle.defaultlogger;com.puppycrawl.tools.checkstyle.xmllogger;org.apache.cxf.interceptor.loggingininterceptor;org.apache.cxf.interceptor.loggingoutinterceptor;org.apache.juli.logging.log;org.apache.juli.logging.logfactory;org.apache.maven.plugin.logging.log;org.apache.maven.plugin.logging.systemstreamlog;org.apache.maven.plugins.assembly.functions.mavenprojects.log;org.apache.maven.scm.log.defaultlog;org.apache.maven.shared.io.logging.messageholder;org.apache.maven.shared.scriptinterpreter.executionlogger;org.apache.maven.shared.utils.logging.messagebuilder;org.apache.maven.shared.utils.logging.messageutils;org.apache.maven.shared.utils.logging.messageutils.buffer;org.apache.tools.ant.defaultlogger;org.apache.velocity.runtime.log.logchute;org.codehaus.plexus.logging.abstractlogenabled;org.codehaus.plexus.logging.console.*;org.codehaus.plexus.logging.console.consolelogger;org.codehaus.plexus.logging.logenabled;org.codehaus.plexus.logging.logger,False,False,False,True,False,False,True,True,"['log4j', 'slf4j']"
50975,https://api.github.com/repos/nifty-gui/nifty-gui,nifty-gui,nifty-gui/nifty-gui,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/nifty-gui_nifty-gui.tar.gz,large,Java,4508599,0,146167,98147,29447,18573,0,1261,0,[],de.lessvoid.nifty.examples.loggershortformat;de.lessvoid.nifty.loaderv2.types.helper.collectionlogger;org.bushe.swing.event.logger;org.bushe.swing.event.logger.level;paulscode.sound.soundsystemlogger,False,False,True,False,False,False,False,True,['jul']
3360755,https://api.github.com/repos/Tanaguru/Tanaguru,Tanaguru,Tanaguru/Tanaguru,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Tanaguru_Tanaguru.tar.gz,large,Java,27481612,0,624524,309196,249752,65576,0,5312,0,[],,False,False,True,True,False,False,True,True,"['jul', 'log4j', 'slf4j']"
28303389,https://api.github.com/repos/DISID/disid-proofs,disid-proofs,DISID/disid-proofs,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/DISID_disid-proofs.tar.gz,large,Java,2226265,0,71569,38607,23358,9604,0,2270,0,[],,False,False,False,True,False,False,True,True,"['log4j', 'slf4j']"
26851360,https://api.github.com/repos/mars-sim/mars-sim,mars-sim,mars-sim/mars-sim,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/mars-sim_mars-sim.tar.gz,large,Java,15052703,0,442813,256241,123061,63511,0,1472,0,[],,True,False,True,False,False,False,False,True,"['acl', 'jul']"
